team_abbreviation_away,team_abbreviation_home,wl_home,game_date,home_conf,away_conf,winning_conference
DET,MIN,W,2020-12-23T00:00:00Z,W,E,W
NOP,TOR,L,2020-12-23T00:00:00Z,E,W,W
NOP,MIA,W,2020-12-25T00:00:00Z,E,W,E
GSW,MIL,W,2020-12-25T00:00:00Z,E,W,E
ATL,MEM,L,2020-12-26T00:00:00Z,W,E,E
TOR,SAS,W,2020-12-26T00:00:00Z,W,E,W
OKC,CHA,L,2020-12-26T00:00:00Z,E,W,W
GSW,CHI,L,2020-12-27T00:00:00Z,E,W,W
MEM,BKN,L,2020-12-28T00:00:00Z,E,W,W
GSW,DET,L,2020-12-29T00:00:00Z,E,W,W
ORL,OKC,L,2020-12-29T00:00:00Z,W,E,E
MEM,BOS,W,2020-12-30T00:00:00Z,E,W,E
CHA,DAL,L,2020-12-30T00:00:00Z,W,E,E
WAS,MIN,L,2021-01-01T00:00:00Z,W,E,E
MIA,DAL,W,2021-01-01T00:00:00Z,W,E,W
MEM,CHA,L,2021-01-01T00:00:00Z,E,W,W
TOR,NOP,W,2021-01-02T00:00:00Z,W,E,W
OKC,ORL,L,2021-01-02T00:00:00Z,E,W,W
DAL,CHI,W,2021-01-03T00:00:00Z,E,W,E
IND,NOP,L,2021-01-04T00:00:00Z,W,E,E
OKC,MIA,W,2021-01-04T00:00:00Z,E,W,E
CHI,POR,L,2021-01-05T00:00:00Z,W,E,E
UTA,BKN,W,2021-01-05T00:00:00Z,E,W,E
CHI,SAC,W,2021-01-06T00:00:00Z,W,E,W
HOU,IND,W,2021-01-06T00:00:00Z,E,W,E
TOR,PHX,W,2021-01-06T00:00:00Z,W,E,W
UTA,NYK,W,2021-01-06T00:00:00Z,E,W,E
CLE,MEM,L,2021-01-07T00:00:00Z,W,E,E
PHX,DET,W,2021-01-08T00:00:00Z,E,W,E
TOR,SAC,L,2021-01-08T00:00:00Z,W,E,E
UTA,MIL,L,2021-01-08T00:00:00Z,E,W,W
ORL,HOU,W,2021-01-08T00:00:00Z,W,E,W
CHI,LAL,W,2021-01-08T00:00:00Z,W,E,W
BKN,MEM,W,2021-01-08T00:00:00Z,W,E,W
OKC,NYK,L,2021-01-08T00:00:00Z,E,W,W
CHA,NOP,L,2021-01-08T00:00:00Z,W,E,E
PHX,IND,L,2021-01-09T00:00:00Z,E,W,W
